,Kp,Ti,Td,Overshoot,RiseTime,SettlingTime
47,0.5,0.015,0.005,0,0.06777860391488497,0.10787303674868548
23,0.2,0.01,0,0,0.0979584834776492,0.17152866228498356
27,1,0.1,0,0,0.30512527148764523,0.6161657818240198
38,0.5,0.1,0.05,0,0.5554643630882585,0.9888780313555456
26,0.5,0.1,0,0,0.5484528220265319,1.0178712943379544
28,1,1,0,0,3.202599495014627,6.411098108549476
65,0.16,1,0.001,0,15.582078581642572,27.244228766113665
61,1,0.001,0.2,0.5725095271861491,0.00022094530947199407,0.0003743092186864894
18,1,0.00192,0.101,0.7502010405591175,0.0004007088464003464,0.0006624938697030641
59,1,0.002,0.1,0.9532624799187817,0.0004010249767541711,0.0006558473182318012
25,0.5,0.01,0,1.0733486976532536,0.037236505607648365,0.055794759023521164
31,0.5,0.01,0,1.0733486976532536,0.037236505607648365,0.055794759023521164
40,0.5,0.01,0,1.0733486976532536,0.037236505607648365,0.055794759023521164
15,1,0.00192,0.12,1.160485101003239,0.0003407593231043473,0.0005534617481308143
16,1,0.00192,0.109,1.4145226481156348,0.0003665924894419373,0.0005880443462014613
13,1,0.00192,0.2,2.4233099814475967,0.00020681420523701417,0.002041615273443673
24,0.5,0.01,0.01,2.8151472711790193,0.0474424409541492,0.10716282592630282
68,0.5,0.01,0.015,3.5401015553446546,0.05056179068675739,0.11883887840824425
37,0.5,0.01,0.05,6.801752509817449,0.06783733105777255,0.16810399432786474
36,0.5,0.009,0.05,7.69021922083255,0.06285103343094492,0.15835153053432427
64,1,0.001,0.17,8.147672530648897,0.0005185654655358085,0.3142845768357472
74,0.5,0.005,1,8.784601772361466,0.00011283126544346756,1.2653607067804307
63,1,0.001,0.15,8.802704253897264,0.012055090783054622,0.2967691596725223
6,4,0.001,0.026,9.706299225208914,0.00355100650516307,0.10489107121904495
5,4,0.001,0.024,10.334180848487096,0.003732125746705365,0.10163656458750052
53,0.5,0.005,0.5,10.384154134922152,0.00026146481350073063,0.7507971390813591
73,0.5,0.005,0.5,10.384154134922152,0.00026146481350073063,0.7507971390813591
